时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
2103.0671195983887	nan	2441.24	3992.4	4.58494551e-05
2103.8414359092712	nan	2441.25	3992.7	4.55697024e-05
2104.574093103409	nan	2441.22	3992.6	4.4803416e-05
2105.309108018875	nan	2441.22	3992.6	4.60075803e-05
2106.0512754917145	nan	2441.19	3992.9	4.60319068e-05
2106.8074793815613	nan	2441.21	3992.7	4.57156617e-05
2107.5411236286163	nan	2441.24	3992.2	4.57886561e-05
2108.274965286255	nan	2441.21	3992.6	4.65427794e-05
2109.0094277858734	nan	2441.2	3992.7	4.36965719e-05
2109.8488597869873	nan	2441.19	3992.8	4.66765755e-05
2110.589422941208	nan	2441.2	3992.8	4.6786045e-05
2111.335616827011	nan	2441.17	3993.0	4.54967315e-05
2112.0745058059692	nan	2441.19	3992.7	4.64211406e-05
2112.8088479042053	nan	2441.17	3992.5	4.60562423e-05
2113.542381286621	nan	2441.17	3992.5	4.4864241e-05
2114.2758655548096	nan	2441.14	3992.6	4.59346095e-05
2115.011608362198	nan	2441.17	3992.5	4.55697031e-05
2115.8081884384155	nan	2441.12	3992.6	4.45844777e-05
2116.542844772339	nan	2441.15	3992.3	4.55210499e-05
2117.2763736248016	nan	2441.11	3992.4	4.53994172e-05
2118.030913591385	nan	2441.14	3992.4	4.63116307e-05
2118.8148188591003	nan	2441.12	3992.7	4.56548142e-05
2119.549824476242	nan	2441.08	3992.4	4.50223243e-05
2120.3577089309692	nan	2441.11	3992.1	4.56791408e-05
2121.1011731624603	nan	2441.08	3992.1	4.59588959e-05
2121.8429946899414	nan	2441.1	3992.3	4.66035454e-05
2122.575579881668	nan	2441.09	3992.0	4.52777493e-05
2123.311300754547	nan	2441.09	3991.9	4.636028e-05
2124.0565066337585	nan	2441.07	3992.3	4.62386474e-05
2124.8172602653503	nan	2441.07	3992.4	4.4487137e-05
2125.5491030216217	nan	2441.08	3992.5	4.47303987e-05
2126.2828505039215	nan	2441.05	3992.4	4.54845211e-05
2127.028171777725	nan	2441.08	3992.3	4.59953783e-05
2127.8076663017273	nan	2441.03	3992.3	4.61291742e-05
2128.5448541641235	nan	2441.06	3992.5	4.53628885e-05
2129.279079914093	nan	2441.06	3992.4	4.4949337e-05
2130.014519929886	nan	2441.03	3992.4	4.42803574e-05
2130.8074984550476	nan	2441.0	3992.3	4.6871133e-05
2131.5427718162537	nan	2441.0	3992.5	4.58007656e-05
